"The Hunger Games"
"Laura"
"Princess Mononoke"
" The Girl Who Leapt Through Time"
" Good Morning, Vietnam"
" Johnny Mnemonic"
" The Rocketeer"
" Rounders"
" Good Will Hunting"
" Foxcatcher"
" Big Hero 6"
" Philadelphia"
" The Theory of Everything"
" The Core"
" Boys Don't Cry"
" Grosse Pointe Blank"
" Heavy Metal"
" Paprika"
" Night at the Museum: Secret of the Tomb"
" I Don't Want to Be a Man"
" The Hobbit: The Battle of the Five Armies"
" Confessions of a Dangerous Mind"
"The Imitation Game"
"Tokyo Godfathers"
"Godzilla"
"Bill & Ted's Excellent Adventure"
"Bill & Ted's Bogus Journey"
"The Hitchhiker's Guide to the Galaxy"
"Guardians of the Galaxy"
"Strangers on a Train"
"Confessions of a Dangerous Mind"
"La Dolce Vita"
"Indie Game: The Movie"
"The Abyss"
"Millennium Actress"
"RoboCop 2"
"56 Up"
"Inherent Vice"
"RoboCop"
"Deep Impact"
"Chappie"
"Coneheads"
"Saturday Night"
"The Machine"
"Songs from the North"
"Kumiko, the Treasure Hunter"
"Dinotasia"
"Solaris"
"Space Cowboys"
"The Hunt for Red October"
"The Sum of All Fears"
"Patriot Games"
"Clear and Present Danger"
"Grey Gardens"
"Harmontown"
"Jack Ryan: Shadow Recruit"
"Dragonheart"
"Redline"
"The Cable Guy"
"Homo Sapiens 1900"
"Big Eyes"
"Star Trek: The Motion Picture"
"Star Trek II: The Wrath of Khan"
"The Running Man"
"National Treasure"
"Star Trek III: The Search for Spock"
"Star Trek IV: The Voyage Home"
"Avengers: Age of Ultron"
"Kurt Cobain: Montage of Heck"
"Face/Off"
"The Silence of the Lambs"
"Never Let Me Go"
"Tomorrowland"
"Turbo"
"UHF"
"Song of the Sea"
"Mad Max: Fury Road"
"Jurassic World"
"Transformers: Age of Extinction"
"Ruby Sparks"
"Star Trek: Insurrection"
"Trading Places"
"Tommy Boy"
"Big Night"
"The Lost Boys"
"Beverly Hills Cop"
"Black Sheep"
"Wayne's World"
"Cool World"
"Maverick"
"Rudy"
"Ghostbusters"
"Drumline"
" Labyrinth"
" The Dark Crystal"
" Coming to America"
" The Naked Gun: From the Files of Police Squad!"
" Wing Commander"
" Chronic-Con, Episode 420: A New Dope"
" Coach Carter"
" The Last Unicorn"
" The Great Mouse Detective"
" Treasure Planet"
" Atlantis: The Lost Empire"
" Dirty Dancing"
" Anastasia"
" The Nut Job"
" Mission: Impossible"
" Starship Troopers"
" Shaun the Sheep Movie"
" Total Recall"
"Mission: Impossible II"
"The Terminator"
"Seeking a Friend for the End of the World"
"Hot Fuzz"
"Voyage to the Bottom of the Sea"
"The Net"
"Beverly Hills Cop II"
"Wet Hot American Summer"
"The Naked Gun 2½: The Smell of Fear"
" Teenage Mutant Ninja Turtles"
" Cold Mountain"
" Hurricane of Fun: The Making of Wet Hot"
" Brother Bear"
" Brother Bear 2"
" Kung Fu Hustle"
" Masters of the Universe"
" Gladiator"
" The History of Future Folk"
" Live! Tonight! Sold Out!! Part II - In Utero Era"
" Dumbo"
" White God"
" I Confess"
" Revolutionary Girl Utena: The Movie"
" The Martian"
" Beetlejuice"
" The Lego Movie"
" Bicentennial Man"
" Don't Tell Mom the Babysitter's Dead"
" Eisenstein in Guanajuato"
" Bad Words"
" The X-Files"
" Children of the Corn"
" Tremors"
" Minions"
" Ghost in the Shell: The New Movie"
" The Fly"
" John Wick"
" A Civil Action"
" Beneath the Planet of the Apes"
" The Book of Life"
" Evolution"
" Suffragette"
" The Good Dinosaur"
" 2001: A Space Odyssey"
" Paycheck"
" Fantastic Four: Rise of the Silver Surfer"
" 12 Monkeys"
" Stardust"
" Superman Returns"
" Demolition Man"
" Sphere"
" Transcendence"
" Contact"
" What We Do in the Shadows"
" Escape from the Planet of the Apes"
" Conquest of the Planet of the Apes"
" Spaceballs"
" Battle for the Planet of the Apes"
" Blade Runner"
" Ex Machina"
" Ernest & Celestine"
" Planet of the Apes"
" Star Wars Episode VII: The Force Awakens"
" San Andreas"
" The Search for Santa Paws"
" The Signal"
"Nausicaä of the Valley of the Wind"
"Mortal Kombat: Annihilation"
"Star Trek Generations"
"arrie"
"The Martian"
"Kingsman: The Secret Service"
"Edge of Tomorrow"
"Paradise Lost 3: Purgatory"
"Anomalisa"
"Going Clear: Scientology and the Prison of Belief"
"The Terminator"
"Terminator 2: Judgment Day"
"Galaxy Quest"
"Snowpiercer"
"Interstellar"
"Young Frankenstein"
"Dreamcatcher"
"Thir13en Ghosts"
"Recount"
"October Sky"
"Puppy Party"
"Mad Max: Fury Road"
"Journey to the West"
"The Da Vinci Code"
"The X-Files: I Want to Believe"
"Tropic Thunder"
"The Iron Giant"
"Timeline"
"Star Trek: First Contact"
"Game Change"
"The Road to El Dorado"
"Mulan"
"Alien: Resurrection"
"The Hunchback of Notre Dame"
"Life"
"Robin Hood"
"The Emperor's New Groove"
"Apollo 13"
"Deadpool"
"The Last Man on the Moon"
"The Tale of Despereaux"
"Lilo & Stitch"
"Spy"
"Charlotte's Web"
"RoboCop"
"Robin Hood: Prince of Thieves"
"RoboCop"
"Terminator Genisys"
"Tammy"
"Howl's Moving Castle"
"Penguins of Madagascar"
"Equilibrium"
"Contact"
"The Congress"
"Men in Black"
"Watership Down"
"RoboCop 2"
"The Firm"
"Gattaca"
"St. Vincent"
"Turner & Hooch"
"The 6th Day"
"Room"
"X-Men: Days of Future Past"
"Final Fantasy: The Spirits Within"
"Final Fantasy VII: Advent Children"
"Captain America: The Winter Soldier"
"Atari: Game Over"
"Star Trek V: The Final Frontier"
"How to Train Your Dragon"
"Microcosmos"
"Star Trek VI: The Undiscovered Country"
"Star Trek"
"Star Trek Into Darkness"
"Mission: Impossible Rogue Nation"
"Inside Man"
"The Lawnmower Man"
"Batman"
"Green Room"
"Batman Returns"
"Vacation"
"Star Wars: The Force Awakens"
"Fantastic Four"
"Jupiter Ascending"
"The Shawshank Redemption"
"The World's End"
"Straight Outta Compton"
"The Revenant"
"Bridge of Spies"
"Too Big to Fail"
"Looper"
"The Day After Tomorrow"
"Captain America: Civil War"
"Prometheus"
"Jurassic World"
"What We Do in the Shadows"
"Confirmation"
"All the Way"
"Spirited Away"
" Wild Wild West"
" Zootopia"
" Twilight Zone: The Movie"
" i, Robot"
" Watchmen"
" The Point"
" 10 Cloverfield Lane"
" Ant-Man"
" Justice League: Doom"
" Batman Forever"
" Soul Food"
"9"
" Batman: Mask of the Phantasm"
" The Time Machine"
" Lost in Space"
" A League of Their Own"
" The Time Machine"
" An American Tail"
" Ghostbusters"
" Love Potion No. 9"
" Harry Potter and the Order of the Phoenix"
" Destiny"
" Transformers"
" Star Trek Beyond"
" Silver Linings Playbook"
" Evan Almighty"
" The Truman Show"
" The Giver"
" Police Academy"
" Spy Hard"
" Horrible Bosses"
" Due Date"
" A Few Good Men"
" Flatliners"
" Stand by Me"
" Step Brothers"
" Independence Day"
" Charlie Wilson's War"
" Snatch"
" Westworld"
" Silent Running"
" The Island"
" Batteries Not Included"
" Frank"
" Children of Men"
" Lucy"
" Citizen Kane"
" The Conformist"
" Z for Zachariah"
" Indiana Jones and the Kingdom of the Crystal Skull"
" The Big Short"
" Mars Attacks!"
" Limitless"
" My Neighbor Totoro"
" The Invasion"
" Minority Report"
" Back to the Future"
" Back to the Future Part II"
" The Fifth Element"
" Back to the Future Part III"
" Back in Time"
" Kubo and the Two Strings"
" The Secret of NIMH"
" The Pagemaster"
" Batman v Superman: Dawn of Justice"
" U-571"
" The Matrix"
" Last Days in Vietnam"
" Sisters"
" The Dark Crystal"
" Big Hero 6"
" The Jungle Book"
" Tangerine"
" Star Trek: The Motion Picture"
" Spotlight"
" Coraline"
" The NeverEnding Story"
" Cast Away"
" Alien"
" Outbreak"
" Slice"
" Star Trek II: The Wrath of Khan"
" La Hija"
" X-Men: Apocalypse"
" I Am Legend"
" Invasion of the Body Snatchers"
" The Blob"
" Memoirs of an Invisible Man"
" Drag Me to Hell"
" ParaNorman"
" Doctor Strange"
" Hot Tub Time Machine 2"
" Who Framed Roger Rabbit"
" The Secret Life of Pets"
" Odd Man Out"
" Finding Dory"
" Inside Out"
" The Brothers Grimm"
" Independence Day: Resurgence"
" Fantastic Planet"
" Fantastic Beasts and Where to Find Them"
" The Love Witch"
" Kung Fu Panda"
" Keanu"
" For the Love of Spock"
" High-Rise"
" Déjà Vu"
" Kung Fu Panda 2"
" Kung Fu Panda 3"
" Tinker Tailor Soldier Spy"
" Star Trek III: The Search for Spock"
" Star Trek IV: The Voyage Home"
" Homeward Bound: The Incredible Journey"
" Your Highness"
" The Tiger: An Old Hunter's Tale"
" Santa Claus"
" The Raid 2: Berandal "
" The Man from U.N.C.L.E."
" Passengers"
" Rogue One: A Star Wars Story"
" How You Look to Me"
"Brewster's Millions"
"Whisper of the Heart"
"Justice League: Throne of Atlantis"
"Justice League: The Flashpoint Paradox"
"Justice League: War"
"The Great Muppet Caper"
"The Little Prince"
"Ghost Dog: The Way of the Samurai"
"Star Trek Generations"
"Justice League: Gods and Monsters"
"Justice League: Crisis on Two Earths"
"Batman: Assault on Arkham"
"Star Trek: First Contact"
"Batman: The Dark Knight Returns, Part 1"
"Star Trek: Insurrection"
"Batman: The Dark Knight Returns, Part 2"
"Star Trek Nemesis"
"Suicide Squad"
"The Magnificent Seven"
"Wonder Woman"
"Justice League: The New Frontier"
"Stargate"
"Batman Beyond: Return of the Joker"
"Dinosaur"
"Enemy Mine"
"DuckTales the Movie: Treasure of the Lost Lamp"
"Captain America: Civil War"
"Arrival"
"Star Trek II: The Wrath of Khan"
"Weiner"
"The Day the Earth Stood Still"
"Ghostbusters"
"Yes Man"
"Her"
"Toy Story 3"
"Hidden Figures"
"Moana"
"Deep Impact"
"Interstellar"
"Sister Act"
"Surf's Up"
"The Matrix"
"Inception"
"Catch Me If You Can"
"Heathers"
"The Princess and the Frog"
"X-Men"
"Dirty Rotten Scoundrels"
"Passengers"
"The Amazing Spider-Man 2"
"Marvelous Mandy"
"The Wolverine"
"Oblivion"
"Predator 2"
"X2"
"Gangs of New York"
"Spider-Man 3"
"Rogue One: A Star Wars Story"
"The Simpsons Movie"
"Life Itself"
"Cloud Atlas"
"Star Wars"
"The Royal Tenenbaums"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
"The Happening"
"The Nice Guys"
"Night of the Comet"
"Finding Dory"
"Die Hard with a Vengeance"
"City Slickers"
"What Women Want"
"Iron Man"
"Jurassic Park"
"X-Men Origins: Wolverine"
"Jurassic Park III"
"Wallace & Gromit: The Curse of the Were-Rabbit"
"The Dark Knight Rises"
